"created_at","tweet_user_id","followers_count","country","name","coordinates","place_type","text","hashtag","game"
"2019-05-09 12:04:01","188463634","1197","United States","Newport News","[[[-76.62797, 36.960216], [-76.62797, 37.220386], [-76.387647, 37.220386], [-76.387647, 36.960216]]]","city","Man it's been a hot min since I played @PlayApex but damn I gotta get my Lexus is300 ready for the big car shows co… https://t.co/iDpHw7b5SR",NULL,"ApexLegends"
"2019-05-09 13:46:00","1125084784395530243","5","United States","Marion","[[[-85.744882, 40.49346], [-85.744882, 40.610902], [-85.61564, 40.610902], [-85.61564, 40.49346]]]","city","New YouTube video up check it out link in my bio.
#YouTube #youtuber #fortnite #yt #headshot #videogames #subscribe… https://t.co/6Kbxg7rXPN","['YouTube', 'youtuber', 'fortnite', 'yt', 'headshot', 'videogames', 'subscribe']","Fortnite"
"2019-05-09 12:08:49","1016415217511591936","45","United States","Fairwood","[[[-122.212834, 47.430091], [-122.212834, 47.471158], [-122.108701, 47.471158], [-122.108701, 47.430091]]]","city","This new shotgun bout to upset a lot of people! RIP pump ✌️
• • 
https://t.co/C0YIkQNkbF
• • 
#fortnite #fortnitebr… https://t.co/z3oQyQB44Y","['fortnite', 'fortnitebr']","Fortnite"
"2019-05-09 12:20:13","991471931487670273","1","United States","Georgia","[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]","admin","me when i found out epic vaulted the pump #FortniteSeason9 #Fortnite https://t.co/fMpTsKwjtF","['FortniteSeason9', 'Fortnite']","Fortnite"
"2019-05-09 18:05:25","764512383989649409","21","Italia","Pisa","[[[10.269632, 43.581381], [10.269632, 43.750975], [10.456317, 43.750975], [10.456317, 43.581381]]]","city","Il nostro primo fan ci dona €1.301 INCREDIBILE! (parte2)
#twitchitalia #rocketleagueitalia #pisani #comici… https://t.co/ZgWlvZkrf9","['twitchitalia', 'rocketleagueitalia', 'pisani', 'comici']","Fortnite"
"2019-05-09 13:50:41","2863741180","345","Venezuela","Villa De Cura","[[[-67.51075, 10.020864], [-67.51075, 10.049999], [-67.472954, 10.049999], [-67.472954, 10.020864]]]","city","¡La #Temporada9 de #Fortnite ya está aquí!. Pide tu #PaseDeBatalla para todas las consolas en #SuperJuegosStore. 
D… https://t.co/usqBLJNczV","['Temporada9', 'Fortnite', 'PaseDeBatalla', 'SuperJuegosStore']","Fortnite"
"2019-05-09 12:23:40","1033668020","121","Australia","Tasmania","[[[143.818923, -43.74051], [143.818923, -39.203662], [148.498674, -39.203662], [148.498674, -43.74051]]]","admin","#fortnite is anyone else having team mates booted while loading onto island #battlebus its been so frustrating havi… https://t.co/B5WnmQolDD","['fortnite', 'battlebus']","Fortnite"
"2019-05-09 14:01:01","289779209","1349","Australia","Adelaide","[[[138.44213, -35.34897], [138.44213, -34.652564], [138.78019, -34.652564], [138.78019, -35.34897]]]","city","yay. New #fortnite bugs. rendering is shit. Pick up a gun and can't select it. awesome stuff @FortniteGame","['fortnite']","Fortnite"
"2019-05-09 12:26:28","1040086537957003264","40","Mexico","Cuauhtémoc","[[[-99.18435, 19.399835], [-99.18435, 19.465837], [-99.122382, 19.465837], [-99.122382, 19.399835]]]","city","Mochilas que llegaran pronto
#bestplayer #creatorcode #fortnite #mayorguitagp #fortniteshop #fortnitechallenges… https://t.co/IVxoykPVcU","['bestplayer', 'creatorcode', 'fortnite', 'mayorguitagp', 'fortniteshop', 'fortnitechallenges']","Fortnite"
"2019-05-09 14:11:46","56974616","460","United States","Beverly Hills","[[[-118.427344, 34.052559], [-118.427344, 34.112434], [-118.371934, 34.112434], [-118.371934, 34.052559]]]","city","#infinitywar #CoD4 #dc #whodidthis #fallout76 #E3 #xxxtentacion #news #avengersinfinitywar #edgymemes #anime… https://t.co/i6W6EfQApT","['infinitywar', 'CoD4', 'dc', 'whodidthis', 'fallout76', 'E3', 'xxxtentacion', 'news', 'avengersinfinitywar', 'edgymemes', 'anime']","Fortnite"
"2019-05-09 12:32:55","50500546","926","Brasil","Guarulhos","[[[-46.570847, -23.509957], [-46.570847, -23.274203], [-46.336966, -23.274203], [-46.336966, -23.509957]]]","city","Os pacotes do ""Escolha seu campeão"" do campeonato mundial de Hearthstone 2019 já foram entregues! Em quem vocês vot… https://t.co/WJNKW1WWQc",NULL,"Hearthstone"
"2019-05-09 18:12:45","50500546","926","Brasil","Guarulhos","[[[-46.570847, -23.509957], [-46.570847, -23.274203], [-46.336966, -23.274203], [-46.336966, -23.509957]]]","city","Vem aí a nova aventura solo de Hearthstone: O Grande Assalto a Dalaran! A aventura irá contar com 5 capítulos, send… https://t.co/IP7Yh2QyL3",NULL,"Hearthstone"
"2019-05-09 18:39:05","973158402632372224","1247","Allemagne","Berlin","[[[13.088304, 52.338079], [13.088304, 52.675323], [13.760909, 52.675323], [13.760909, 52.338079]]]","city","Omg, je pouvais pas résister. 😍 #Overwatch https://t.co/Oklr0QeszS","['Overwatch']","overwatch"
"2019-05-09 18:51:31","80042553","1731","United States","Georgia","[[[-85.605166, 30.355644], [-85.605166, 35.000771], [-80.742567, 35.000771], [-80.742567, 30.355644]]]","admin","Walks out of the vehicle like a model. Starts running home ... says it’s #Fortnite Season 9 &amp; her #cousin is Otw over ❤️","['Fortnite', 'cousin']","Fortnite"
"2019-05-09 14:44:33","33271722","2518","Suomi","Raisio","[[[22.068305, 60.447715], [22.068305, 60.530785], [22.249331, 60.530785], [22.249331, 60.447715]]]","city","Evolution Arenalla @FortniteGame Season 9 aiheinen skaba facebookissa. Käy tsekkaamassa ja osallistu täältä… https://t.co/Bw8wVnaFbt",NULL,"Fortnite"
"2019-05-09 18:59:34","3184750456","8543","España","España","[[[-18.160695, 27.63775], [-18.160695, 43.790388], [4.327985, 43.790388], [4.327985, 27.63775]]]","country","🏆 Este FIN DE SEMANA está cargado de competición, en @MyrtiaGamesBar, Murcia 📍 estamos listos para verlas TODAS con… https://t.co/W46TEmAQA4",NULL,"LeagueOfLegends"
"2019-05-09 19:08:43","509142044","196","South Africa","Cape Town","[[[18.318033, -34.35839], [18.318033, -33.884925], [18.66009, -33.884925], [18.66009, -34.35839]]]","city","@FortniteGame you just killed your game #ripfortnite #fortnite #epic","['ripfortnite', 'fortnite', 'epic']","Fortnite"
